hóa hoá
hòa hoà
ủy uỷ
thủy thuỷ
khỏe khoẻ
tòa toà
khóa khoá
họa hoạ
túy tuý
thỏa thoả
hủy huỷ
thúy thuý
tùy tuỳ
tỏa toả
dọa doạ
hỏa hoả
xóa xoá
thùy thuỳ
thụy thuỵ
tọa toạ
úy uý
lũy luỹ
khỏa khoả
lụy luỵ
tụy tuỵ
tủy tuỷ
ngụy nguỵ
òa oà
đóa đoá
xòe xoè
hòe hoè
lòa loà
nhòa nhoà
khóe khoé
trụy truỵ
góa goá
tóe toé
xòa xoà
lóa loá
lòe loè
đọa đoạ
nhòe nhoè
lõa loã
lóe loé
nhụy nhuỵ
ngọa ngoạ
súy suý
xõa xoã
xúy xuý
quá qúa
chọe choẹ
quả qủa
chóe choé
thóa thoá
giá gía
chúy chuý
ọe oẹ
khụy khuỵ
nóe noé
họe hoẹ
húy huý
ngõa ngoã
chòe choè
dụy duỵ
chùy chuỳ
hùy huỳ
thõa thoã
khủy khuỷ
quí qúi
chóa choá
quà qùa
trủy truỷ
già gìa
tóa toá
lúy luý
giả gỉa
chõa choã
đòa đoà
